"site_id","entity_id","latitude","longitude","elevation","geology","cover_thickness","distance_entrance","d18O_measurements","datings","min_corr_age","max_corr_age","period","mineralogy","mean_d18O"
63,147,20.73,-89.716,20,"unknown","NULL","NULL",709,12,-54,1462.92,1516.92,"calcite",-4.938
64,148,25.25,91.8667,1290,"unknown","NULL","1000",625,7,-56.65,551,607.65,"calcite",-5.858
65,149,4.15,114.86,250,"limestone","NULL","NULL",189,15,314972.5,475915,160942.5,"calcite",-8.059
66,150,54.1656,-2.4419,255,"limestone","50","800",160,11,7347.87,11190.74,3842.87,"calcite",-5.056
67,151,4.1,114.83,224,"limestone","NULL","NULL",410,26,228171.91,325304.62,97132.71,"calcite",-8.411
68,152,31.7833,35.15,700,"dolomite","10","NULL",309,21,-16,168714,168730,"calcite",-5.297
69,153,40.5,117.5,710,"dolomite","200","35",395,22,50137.06,56834.96,6697.9,"calcite",-9.527
58,154,47.08,11.67,2310,"marble","NULL","NULL",707,8,9636.5,10796.1,1159.6,"calcite",-7.837
70,155,26.23,-77.16,-45,"limestone","NULL","NULL",72,5,23699,28895,5196,"calcite",-2.855
70,156,26.23,-77.16,-45,"limestone","NULL","NULL",191,5,14308,15704,1396,"calcite",-2.468
70,157,26.23,-77.16,-45,"limestone","NULL","NULL",822,17,36122,63848,27726,"calcite",-3.446
70,158,26.23,-77.16,-45,"limestone","NULL","NULL",743,20,13766,32076,18310,"calcite",-1.793
71,159,48.4667,20.5,375,"limestone","150","1000",58,11,109193.85,129003.13,19809.28,"calcite",-7.075
71,160,48.4667,20.5,375,"limestone","150","1000",501,12,108757.75,128124.71,19366.96,"calcite",-7.082
72,161,45,22.6,1050,"limestone","100","220",150,10,-32,8169,8201,"calcite",-8.348
73,162,45.6678,0.5133,100,"limestone","10","20",361,15,121339,128151,6812,"calcite",-4.88
74,163,-33.3925,22.2147,687,"limestone","NULL","1100",179,23,41,47978,47937,"calcite",-5.282
75,164,29.8852,-98.6208,377,"limestone","20","24",399,27,9546,28490,18944,"calcite",-3.703
76,165,44.4,21.65,530,"limestone","140","160",100,5,-48,2425.6,2473.6,"calcite",-7.127
77,166,44.23,4.26,240,"limestone","NULL","NULL",211,9,11415,34183,22768,"calcite",-5.011
78,167,9.1741,-79.6164,60,"unknown","20","75",483,5,690,2179.5,1489.5,"calcite",-5.486
79,168,36.534,32.1056,232,"limestone","15","250",88,6,9738.09,13094.22,3356.13,"calcite",-5.929
79,169,36.534,32.1056,232,"limestone","15","250",442,28,12575.46,89714.22,77138.76,"calcite",-4.925
79,170,36.534,32.1056,232,"limestone","15","250",50,10,12020,14555.3,2535.3,"calcite",-5.482
80,171,29.2289,107.9036,480,"dolomite","300","1000",370,16,6001.4,16991,10989.6,"aragonite",-6.466
80,172,29.2289,107.9036,480,"dolomite","300","NULL",299,5,-55,1989,2044,"aragonite",-6.36
81,173,36.4333,4.5667,507,"limestone","NULL","NULL",224,9,4039.12,6190.75,2151.63,"calcite",-5.759
81,174,36.4333,4.5667,507,"limestone","NULL","NULL",201,7,3193.28,5793.4,2600.12,"calcite",-4.106
82,175,-41.95,171.47,100,"limestone","NULL","NULL",718,18,11261.14,73201.41,61940.27,"calcite",-2.887
83,176,36.03,9.68,975,"limestone","50","300",78,7,5316.16,23168,17851.84,"calcite",-6.196
84,177,47.7,18.84,420,"limestone","100","50",189,8,4738.82,10543.21,5804.39,"calcite",-8.34
85,178,16.883,-89.108,530,"limestone","NULL","8",660,16,-42.6,5245,5287.6,"calcite",-3.7
86,179,44.2568,15.5372,32,"limestone","22","150",111,6,-58,1636.9,1694.9,"calcite",-4.132
87,180,43.4,-4.53,24,"limestone","40","400",424,12,11640.32,29339.98,17699.66,"calcite",-3.192
88,181,45.77,14.2,529,"limestone","30","200",10,10,-46,8,54,"calcite",-6.187
90,183,46.11,18.15,275,"limestone","20","30",142,7,3027.91,4710.82,1682.91,"calcite",-7.3
91,184,46.5537,22.5695,482,"limestone","100","100",40,5,-50,7068.38,7118.38,"calcite",-7.73
92,185,40.4833,72.5833,1435,"limestone","40","35",447,7,-61,800.3,861.3,"calcite",-10.061
93,186,4.2333,114.925,569,"limestone","NULL","NULL",659,48,210870,565280,354410,"calcite",-8.177
94,187,-15.53,46.88,131,"mixed","100","1000",173,10,-64,1672.72,1736.72,"calcite",-5.747
94,188,-15.53,46.88,131,"mixed","100","1000",1069,17,-63.5,1567.3,1630.8,"mixed",-5.677
94,189,-15.53,46.88,131,"mixed","NULL","NULL",365,10,650,1580,930,"mixed",-5.295
94,190,-15.53,46.88,131,"mixed","NULL","NULL",655,20,140.64,9027.47,8886.83,"mixed",-5.487
95,191,27.8894,-82.5186,25,"limestone","NULL","15",1476,9,4626.8,6603.7,1976.9,"calcite",-3.616
97,195,40.2467,9.6228,0,"limestone","100","NULL",296,21,110207,112881,2674,"calcite",-3.844
98,196,52.25,-9.43,60,"limestone","20","250",145,14,-47,10132,10179,"calcite",-3.196
99,197,-19.4,17.8833,1400,"dolomite","NULL","100",315,27,18,4618,4600,"mixed",-9.478
100,199,47.0833,15.55,900,"limestone","NULL","NULL",690,10,7079.5,10324,3244.5,"calcite",-6.339
100,200,47.0833,15.55,900,"limestone","NULL","NULL",1323,11,7786.62,10027.08,2240.46,"calcite",-6.259
101,201,46.95,10.55,1140,"mixed","NULL","NULL",2814,16,-47,2943.04,2990.04,"calcite",-9.974
102,202,64.89,14.16,570,"mixed","14","200",413,4,-55,3791.88,3846.88,"calcite",-9.286
103,203,-12.3344,-41.6043,680,"limestone","NULL","NULL",124,6,-61,39.11,100.11,"aragonite",-3.199
105,206,47.4333,9.8667,1285,"limestone","NULL","400",2150,23,115340,134085,18745,"calcite",-9.115
105,207,47.4333,9.8667,1285,"limestone","NULL","NULL",754,20,111588.73,118314.57,6725.84000000001,"calcite",-9.06
106,208,42.46,0.04,794,"limestone","NULL","NULL",153,17,11616,12995,1379,"calcite",-8.474
107,209,16.2086,-89.0735,336,"limestone","14","50",4047,40,-55.51,1964.62,2020.13,"aragonite",-3.856
107,210,16.2086,-89.0735,336,"limestone","14","50",3542,1,-33.54,399.46,433,"aragonite",-4.581
108,211,43.71,3.55,110,"mixed","NULL","500",83,15,74460,187405,112945,"calcite",-4.737
108,212,43.71,3.55,110,"mixed","NULL","NULL",232,9,142.33,11178.79,11036.46,"calcite",-4.731
104,213,-8.53,120.43,550,"limestone","NULL","1200",174,16,25616,31505,5889,"calcite",-4.205
109,216,40.7925,-0.4492,1050,"limestone","20","200",169,12,4727,11334.76,6607.76,"calcite",-7.43
109,217,40.7925,-0.4492,1050,"limestone","20","300",142,5,3253,6812,3559,"calcite",-7.318
110,218,32.066,35.3952,250,"dolomite","20","NULL",394,22,16548,66948,50400,"calcite",-3.953
111,219,-5.5782,-37.6432,100,"limestone","NULL","NULL",448,17,4044.75,23890.4,19845.65,"calcite",-4.443
111,220,-5.5782,-37.6432,100,"limestone","NULL","NULL",509,11,4392.47,17222.46,12829.99,"calcite",-5.016
112,221,30.75,109.47,1250,"limestone","50","300",185,4,57617.18,69552.7,11935.52,"calcite",-7.788
112,222,30.75,109.47,1250,"limestone","NULL","NULL",800,19,-55.46,3944.47,3999.93,"calcite",-7.113
104,223,-8.53,120.43,550,"limestone","30","600",278,8,88156.9,90936.2,2779.3,"calcite",-5.95
104,224,-8.53,120.43,550,"limestone","30","600",396,9,84074.8,89210.8,5136,"calcite",-5.274
104,225,-8.53,120.43,550,"limestone","50","1000",217,24,79228.4,90488.9,11260.5,"calcite",-5.051
104,226,-8.53,120.43,550,"limestone","40","800",632,18,-54,1949,2003,"calcite",-6.219
114,229,8.6036,40.3729,1534,"limestone","30","200",209,8,4522.5,4968,445.5,"calcite",-3.2
115,230,47.3781,10.1506,1240,"limestone","NULL","850",531,17,40105,48664,8559,"calcite",-9.381
115,236,47.3781,10.1506,1240,"limestone","NULL","850",418,13,110844,131765,20921,"calcite",-8.74
116,237,4.03,114.8,150,"unknown","NULL","500",498,25,0,26161.85,26161.85,"calcite",-7.693
116,238,4.03,114.8,150,"unknown","NULL","NULL",862,36,-44.66,13548.1,13592.76,"calcite",-9.109
116,239,4.03,114.8,150,"unknown","NULL","NULL",477,22,15200,45593,30393,"calcite",-8.514
117,240,51.3675,7.6647,184,"limestone","15","NULL",1089,10,137,6644.9,6507.9,"calcite",-5.834
117,241,51.3675,7.6647,184,"limestone","30","NULL",470,4,7497.6,10723.5,3225.9,"calcite",-5.899
117,242,51.3675,7.6647,184,"limestone","30","NULL",1008,11,-57.3,8162.8,8220.1,"calcite",-5.66
117,243,51.3675,7.6647,184,"limestone","15","NULL",112,3,8749,10258.2,1509.2,"calcite",-5.843
118,245,4.1,114.8333,120,"limestone","NULL","NULL",96,6,108943,121443,12500,"calcite",-9.516
118,246,4.1,114.8333,120,"limestone","NULL","NULL",463,11,73756,161533,87777,"calcite",-8.502
118,247,4.1,114.8333,120,"limestone","NULL","NULL",132,7,139860,155970,16110,"calcite",-8.571
120,250,40.76,-0.59,1240,"mixed","10","40",266,22,2708.44,6071.82,3363.38,"calcite",-7.224
